Country,"Site Code (Approx. Latitude, Longitude)",Species (marker),Samples +'ve (total),PCRs +'ve (total),Total reads,Reliability Category,Min. GBIF distance (km),Min. GBIF yr,GBIF Assessment (closest record)
Greece,"Greece_4 (40.84350295, 25.87771352)",Bugula neritina (COI),3 (3),9 (9),5179,Reliable,185,2015,Range edge (100-200km)
Greece,"Greece_4 (40.84350295, 25.87771352)",Hydroides elegans (18S),3 (3),9 (9),13443,Reliable,192,1976,Range edge (100-200km)
Greece,"Greece_7 (35.342288, 25.126918)",Watersipora subtorquata (COI),3 (3),8 (9),5024,Reliable,1488,2021,NOVEL (>500km)
Greece,"Greece_8 (35.341906, 25.125946)",Watersipora subtorquata (COI),2 (3),4 (9),1313,Marginal,1488,2021,NOVEL (>500km)
Italy,"Italy_1 (42.17381554, 14.71406582)",Amathia verticillata (12S),2 (3),6 (9),3380,Reliable,154,1915,Range edge (100-200km)
Italy,"Italy_1 (42.17381554, 14.71406582)",Hydroides elegans (18S),3 (3),8 (8),71253,Reliable,168,1964,Range edge (100-200km)
Italy,"Italy_2 (39.992002, 9.694242)",Hydroides elegans (18S),3 (3),7 (9),3657,Reliable,104,2010,Range edge (100-200km)
Italy,"Italy_2 (39.992002, 9.694242)",Watersipora subtorquata (COI),1 (3),1 (9),251,Unreliable,628,2025,NOVEL (>500km)
Italy,"Italy_4 (38.71573117, 16.12483559)",Hydroides elegans (18S),1 (3),3 (9),1785,Unreliable,214,2018,Possible range expansion (200-500km)
Netherlands,"Netherlands_1 (53.444, 6.827)",Amphibalanus improvisus (COI),2 (3),5 (9),823,Reliable,150,2025,Range edge (100-200km)
Netherlands,"Netherlands_3 (52.102959, 4.258417)",Pseudodiaptomus marinus (18S),2 (3),4 (9),1184,Marginal,216,2022,Possible range expansion (200-500km)
Norway,"Norway_4 (69.6339517, 18.9024303)",Neogobius melanostomus (12S),1 (3),1 (8),23,Unreliable,766,2025,NOVEL (>500km)
Portugal,"Portugal_3 (41.369754, -8.764095)",Watersipora subatra (12S),3 (3),9 (9),9659,Reliable,101,2023,Range edge (100-200km)
Portugal,"Portugal_4 (41.814701, -8.868088)",Watersipora subatra (12S),2 (3),2 (9),127,Marginal,150,2023,Range edge (100-200km)
Spain,"Spain_2 (41.396076, 2.210727)",Watersipora subatra (12S),1 (3),1 (8),4,Unreliable,256,2022,Possible range expansion (200-500km)
Spain,"Spain_5 (41.410585, 2.228813)",Watersipora subatra (12S),2 (3),2 (9),105,Marginal,254,2022,Possible range expansion (200-500km)
Spain,"Spain_7 (41.374323, 2.182994)",Watersipora subatra (12S),2 (3),2 (9),173,Marginal,260,2022,Possible range expansion (200-500km)
UK,"UK_1 (55.2055707, -6.6597624)",Neogobius melanostomus (12S),1 (3),1 (9),14,Unreliable,775,2025,NOVEL (>500km)
