Sampling.event.ID,Sampling.area.Name,n_OTUs,Species,Genus,Family,>Family,total_reads,species_reads_only,genus_reads_only,family_reads_only,>Family_reads_only
Denmark_1,"Denmark, Copenhagen, Copenhagen, Floating jetty for harbor bus",85,22,12,7,44,286144,131681,6629,3294,144540
Denmark_2,"Denmark, Copenhagen, Copenhagen, Nyhavn Harbor",66,19,4,5,38,104354,73613,2500,626,27615
Finland_1,"Finland, Varsinais-Suomi, Turku",141,36,10,15,80,92587,67013,2223,6209,17142
France_1,"France, Narbona, Port de la Nouvelle",137,44,17,15,61,772192,605088,37705,55172,74227
Germany_1,NA,55,26,5,6,18,478797,255346,2787,33277,187387
Greece_1,Rhodes_Aquarium_1stArea,111,33,14,13,51,357836,312747,13323,11083,20683
Greece_2,Rhodes_Aquarium_2ndArea,128,38,21,12,57,524933,441969,33052,7482,42430
Greece_3,"ÎšÎ±Î²Î¬Î»Î±, Î Î¿Ï…Î»Î¯Î´Î¿Ï… 26",94,34,12,9,39,465282,396489,4707,8402,55684
Greece_4,"Î‘Î»ÎµÎ¾Î±Î½Î´ÏÎ¿ÏÏ€Î¿Î»Î·, Î’Î±Ïƒ. Î‘Î»ÎµÎ¾Î¬Î½Î´ÏÎ¿Ï… 20",52,11,5,5,31,791798,172156,427687,23690,168265
Greece_5,"Greece, Chania, Eastern edge of Koum Kapi water front; east of the port of Chania",95,29,10,10,46,1364633,1235174,16029,80881,32549
Greece_6,"Greece, Chania, Small port of Nea Chora; at the west of the city of Chania",141,23,19,17,82,1214427,689701,153308,72978,298440
Greece_7,"Greece, Heraklion, Dermatas bay",83,31,7,8,37,512383,390117,35057,57801,29408
Greece_8,"Greece, Heraklion, Dermatas bay1",58,24,7,4,23,1137701,1057069,29900,24323,26409
Italy_1,"Abruzzo, Province of Chieti, Vasto, Viale Marinai d'Italia",72,28,4,9,31,703947,556108,39773,92714,15352
Italy_2,"Italy, Nuoro, Baunei",93,33,5,6,49,901173,671687,13765,133043,82678
Italy_3,"Italy, Nuoro, Dorgali",96,27,8,8,53,249186,111898,11681,56200,69407
Italy_4,"Calabria, Province of Vibo Valentia, Vibo Valentia, Vibo Marina",84,36,11,13,24,480366,245974,22774,25717,185901
NA_1,Caleton 1,25,9,3,4,9,309593,74884,44476,5260,184973
NA_10,"Porto, LeÃ§a da Palmeira, Av. Q.ta Santiago 5",76,33,6,2,35,2239681,136819,96101,2028,2004733
NA_11,"Porto, LeÃ§a da Palmeira, Cais 6",102,42,11,6,43,5104901,528922,550747,116374,3908858
