Sampling.event.ID,Sampling.area.Name,n_OTUs,Species,Genus,Family,>Family,total_reads,species_reads_only,genus_reads_only,family_reads_only,>Family_reads_only
Denmark_1,"Denmark, Copenhagen, Copenhagen, Floating jetty for harbor bus",278,26,9,18,225,904231,242976,5331,21378,634546
Denmark_2,"Denmark, Copenhagen, Copenhagen, Nyhavn Harbor",95,17,3,7,68,742737,267129,3338,18223,454047
Finland_1,"Finland, Varsinais-Suomi, Turku",106,6,1,8,91,783446,70808,91,237590,474957
France_1,"France, Narbona, Port de la Nouvelle",249,24,13,15,197,775687,377261,205504,5921,187001
Germany_1,NA,302,25,2,10,265,931232,164036,14889,32378,719929
Greece_1,Rhodes_Aquarium_1stArea,158,11,4,17,126,499273,115401,3604,15232,365036
Greece_2,Rhodes_Aquarium_2ndArea,213,17,8,20,168,888948,202716,37292,52556,596384
Greece_3,"ÎšÎ±Î²Î¬Î»Î±, Î Î¿Ï…Î»Î¯Î´Î¿Ï… 26",126,24,3,1,98,1084297,350253,192624,1185,540235
Greece_4,"Î‘Î»ÎµÎ¾Î±Î½Î´ÏÎ¿ÏÏ€Î¿Î»Î·, Î’Î±Ïƒ. Î‘Î»ÎµÎ¾Î¬Î½Î´ÏÎ¿Ï… 20",86,30,13,6,37,1477619,777568,334360,29936,335755
Greece_5,"Greece, Chania, Eastern edge of Koum Kapi water front; east of the port of Chania",356,14,10,32,300,638989,55686,7008,45299,530996
Greece_6,"Greece, Chania, Small port of Nea Chora; at the west of the city of Chania",197,6,7,16,168,824110,124942,11719,46532,640917
Greece_7,"Greece, Heraklion, Dermatas bay",188,27,11,19,131,1706599,409993,383890,288833,623883
Greece_8,"Greece, Heraklion, Dermatas bay1",607,40,20,36,511,1376557,54714,259032,343512,719299
Italy_1,"Abruzzo, Province of Chieti, Vasto, Viale Marinai d'Italia",113,19,6,9,79,1709244,831396,76503,46479,754866
Italy_2,"Italy, Nuoro, Baunei",402,35,10,9,348,1346547,665623,28171,12614,640139
Italy_3,"Italy, Nuoro, Dorgali",629,37,16,37,539,826872,63028,15193,23071,725580
Italy_4,"Calabria, Province of Vibo Valentia, Vibo Valentia, Vibo Marina",151,11,8,8,124,1515112,318949,26573,239959,929631
NA_1,Caleton 1,119,11,2,7,99,574739,78400,38892,24293,433154
NA_10,"Porto, LeÃ§a da Palmeira, Av. Q.ta Santiago 5",238,41,10,10,177,3132835,1109824,108042,68835,1846134
NA_11,"Porto, LeÃ§a da Palmeira, Cais 6",465,78,22,26,339,5603973,1508218,358038,199935,3537782
NA_12,"Porto, LeÃ§a da Palmeira, Via Interna de LigaÃ§Ã£o ao Porto de LeixÃµes",418,75,21,22,300,5321394,1772055,577392,275072,2696875
NA_13,"Porto, Matosinhos, Av. Eng. Duarte Pacheco 2",414,63,26,23,302,3958859,507518,252944,87972,3110425
NA_14,"Porto, Matosinhos, Ponte mÃ³vel de LeÃ§a",376,69,19,22,266,2649869,471579,525331,159745,1493214
NA_15,"Porto, Matosinhos, Porto de LeixÃµes",381,83,22,22,254,3984177,868412,412174,205773,2497818
NA_16,"Porto, Matosinhos, R. Cartelas Vieira 24",101,22,5,9,65,354287,50894,86243,4151,212999
NA_17,"TrÃ¸ndelag, Trondheim, BrattÃ¸rkaia 11",533,61,14,26,432,5252003,1370800,371996,322991,3186216
NA_18,"TrÃ¸ndelag, Trondheim, Bynesveien 46",469,59,13,18,379,6560068,2014327,643998,388153,3513590
NA_19,"TrÃ¸ndelag, Trondheim, Pir 1 nr. 7 (HR-kaien)",506,84,22,24,376,5519110,2174111,431880,508822,2404297
NA_2,Caleton 2,3,2,0,0,1,7,5,0,0,2
NA_20,"TrÃ¸ndelag, Trondheim, Pir Ii 15a",511,74,16,28,393,7023342,2736969,542288,693310,3050775
NA_21,"TrÃ¸ndelag, Trondheim, Strandveien 104",666,94,30,38,504,5931672,1968525,425351,247768,3290028
NA_22,Ukraine,313,28,15,19,251,5018337,819585,653831,308081,3236840
NA_23,Ukraine,295,24,15,14,242,2007090,529051,209300,127785,1140954
NA_24,Vidrada,97,12,3,5,77,460933,47739,107944,19600,285650
NA_25,"Zuid Holland, Rotterdam Rozenburg, Nieuwe weg 1",81,11,3,7,60,119193,51828,1876,4653,60836
NA_26,"Zuid-Holland, Leiden, Leiden, Coornhertstraat 63",102,7,6,4,85,631314,19818,21764,43832,545900
NA_27,"Zuid-Holland, Nissewaard, Spijkenisse, Hongerlandsedijk 1",423,29,19,22,353,2899976,398327,330591,255337,1915721
NA_28,"Zuid-Holland, Rotterdam, Maasvlakte Rotterdam, Botlek, Loswalweg 1",422,60,9,22,331,6264147,1438573,1074432,481086,3270056
NA_29,"Zuid-Holland, Rotterdam, Rotterdam, Charlois, Droogdokweg 71",318,29,13,19,257,4510724,559437,277525,258509,3415253
NA_3,Caleton 3,134,13,1,7,113,375822,35803,22153,13921,303945
NA_30,"Zuid-Holland, Rotterdam, Rozenburg, Nieuwe Weg 1",382,38,7,24,313,4102537,1226637,458320,308278,2109302
NA_31,nudist beach,46,3,1,6,36,545892,2761,112656,25154,405321
NA_32,yellow stone aug 24 1,121,13,6,6,96,474143,45579,89850,15338,323376
NA_33,yellow_stone_1_aug,98,11,1,5,81,414026,48740,23567,22782,318937
NA_34,yellow_stone_2_aug,99,13,2,5,79,335265,38842,21441,22005,252977
NA_35,yellow_stone_3_aug,2,0,0,0,2,6,0,0,0,6
NA_36,"ÎšÎ±Î»Î±Î¼Î±ÏÎ¹Î¬, ÎÎ¹Îº. Î Î»Î±ÏƒÏ„Î®ÏÎ± 25",84,19,5,5,55,903022,633895,8646,5085,255396
NA_37,"ÎšÎ±Î»Î±Î¼Î±ÏÎ¹Î¬, ÎÎ¹Îº. Î Î»Î±ÏƒÏ„Î®ÏÎ± 25",275,47,11,15,202,2409510,1207130,95725,22623,1084032
NA_38,"ÎšÎ±Î»Î±Î¼Î±ÏÎ¹Î¬, ÎÎ¹Îº. Î Î»Î±ÏƒÏ„Î®ÏÎ± 31",233,29,14,12,178,1434061,708013,40019,50974,635055
NA_39,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, 26Î·Ï‚ ÎŸÎºÏ„Ï‰Î²ÏÎ¯Î¿Ï… 15",246,22,15,9,200,2203894,661461,308392,124955,1109086
NA_4,"Europoort Rotterdam, Botlek, Rijndwarsweg 9",421,90,15,21,295,5754874,2053621,420237,435088,2845928
NA_40,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, ÎÎ±Ï…Î¬ÏÏ‡Î¿Ï… Î’ÏŒÏ„ÏƒÎ· 4",436,71,22,21,322,4448006,1876770,134078,92776,2344382
NA_41,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î ÏÎ»Î· 11",115,8,3,2,102,412580,18108,4107,5777,384588
NA_42,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, ÎŸÎ´ÏŒÏ‚ Ï‡Ï‰ÏÎ¯Ï‚ Î¿Î½Î¿Î¼Î±ÏƒÎ¯Î±",120,11,5,4,100,269257,13658,4357,2860,248382
NA_43,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·",83,16,3,3,61,454062,274806,7027,4246,167983
NA_44,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ· 546 27",168,19,8,2,139,1042888,371673,36167,9328,625720
NA_45,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ· 546 27",186,33,7,7,139,1049144,637026,46985,12197,352936
NA_46,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î‘Ï€Î¿Î¸Î®ÎºÎ· 1",135,16,9,2,108,1129470,123787,15922,5541,984220
NA_47,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î•Î½Ï„Î¿Ï‚ Î›Î¹Î¼Î­Î½Î±",343,38,14,16,275,1591875,575764,39277,53079,923755
NA_48,"Î˜ÎµÏƒÏƒÎ±Î»Î¿Î½Î¯ÎºÎ·, Î•Ï€Î¹Î²Î±Ï„Î¹ÎºÏŒÏ‚ Î¤ÎµÏÎ¼Î±Ï„Î¹ÎºÏŒÏ‚ Î£Ï„Î±Î¸Î¼ÏŒÏ‚ ""ÎœÎ±ÎºÎµÎ´Î¿Î½Î¯Î±""",439,61,19,19,340,3270888,1407201,78057,83986,1701644
NA_49,Î•Î»Î»Î¬Î´Î±,73,14,4,4,51,231609,126612,6045,1747,97205
NA_5,Kaleton,68,7,1,3,57,325534,56187,895,6069,262383
