"Marker","Species","n_OTUs","OTUs"
"12S","Clupea harengus",2,"otu137, otu12"
"12S","Gobius cobitis",3,"otu158, otu318, otu619"
"12S","Paracentrotus lividus",2,"otu186, otu25"
"12S","Eriphia verrucosa",3,"otu2830, otu339, otu2060"
"12S","Engraulis encrasicolus",2,"otu29, otu40"
"12S","Physella acuta",2,"otu345, otu571"
"12S","Membranipora membranacea",2,"otu459, otu683"
"12S","Dicentrarchus labrax",2,"otu66, otu99"
"12S","Chydorus sphaericus",2,"otu1901, otu2800"
"12S","Astropecten irregularis",3,"otu590, otu562, otu2417"
"12S","Littorina obtusata",2,"otu540, otu866"
"12S","Torpedo marmorata",2,"otu936, otu2327"
"12S","Atherina boyeri",2,"otu11, otu323"
"12S","Citrobacter meridianamericanus",2,"otu1410, otu944"
"12S","Pelagia noctiluca",2,"otu1916, otu4122"
"12S","Holothuria forskali",2,"otu2568, otu2371"
"12S","Planktomarina temperata",2,"otu3273, otu5347"
"18S","Euduboscquella triangula",3,"otu1113, otu2976, otu4133"
"18S","Thraustochytrium kinnei",2,"otu2565, otu7185"
"18S","Navicula perminuta",3,"otu3963, otu937, otu3329"
"18S","Acartia tonsa",2,"otu43, otu26"
"18S","Lecudina tuzetae",2,"otu5457, otu8364"
"18S","Parvocaulis parvulus",2,"otu1291, otu13309"
"COI","Aurelia aurita",3,"otu101, otu10341, otu1379"
"COI","Phaeocystis globosa",3,"otu1052, otu2063, otu64"
"COI","Octactis speculum",2,"otu1069, otu1087"
"COI","Scolelepis squamata",3,"otu10799, otu1919, otu6265"
"COI","Pseudopolydora paucibranchiata",7,"otu11163, otu1496, otu1576, otu2900, otu3573, otu575, otu6560"
"COI","Clausocalanus furcatus",2,"otu125, otu2536"
"COI","Synchaeta triophthalma",4,"otu1340, otu1681, otu737, otu1897"
"COI","Verruca stroemia",2,"otu14446, otu2155"
"COI","Campanularia hincksii",2,"otu1454, otu18259"
"COI","Pseudochattonella farcimen",2,"otu148, otu1934"
"COI","Minutocellus polymorphus",3,"otu150, otu58, otu921"
"COI","Eucampia zodiacus",2,"otu1509, otu17342"
"COI","Hymeniacidon perlevis",2,"otu1635, otu244"
"COI","Oithona similis",2,"otu168, otu284"
"COI","Sundstroemia setigera",3,"otu186, otu79, otu638"
"COI","Trieres chinensis",2,"otu206, otu389"
"COI","Micromonas pusilla",3,"otu3, otu4, otu1856"
"COI","Chthamalus montagui",4,"otu33, otu777, otu1526, otu5315"
"COI","Obelia dichotoma",3,"otu367, otu11501, otu4255"
"COI","Clytia hemisphaerica",2,"otu387, otu910"
"COI","Acartia tonsa",2,"otu44, otu21"
"COI","Thalassiosira nordenskioeldii",2,"otu4605, otu264"
"COI","Pseudostephanoeca paucicostata",2,"otu4917, otu856"
"COI","Oithona nana",2,"otu5, otu116"
"COI","Lanice conchilega",3,"otu5414, otu715, otu9511"
"COI","Acartia clausii",4,"otu550, otu878, otu3126, otu567"
"COI","Membranipora membranacea",2,"otu61, otu1749"
"COI","Skeletonema menzelii",2,"otu611, otu76"
"COI","Pleopis polyphemoides",2,"otu70, otu498"
"COI","Balanus trigonus",3,"otu77, otu799, otu1792"
"COI","Echinocardium cordatum",2,"otu842, otu5775"
"COI","Bittium reticulatum",5,"otu85, otu773, otu1884, otu599, otu9883"
"COI","Perforatus perforatus",2,"otu8683, otu896"
"COI","Pseudo-nitzschia americana",2,"otu971, otu3420"
"COI","Phoronis pallida",2,"otu2756, otu691"
"COI","Paracartia grani",4,"otu978, otu704, otu3704, otu9422"
"COI","Heliconoides inflatus",10,"otu11549, otu149, otu2190, otu2348, otu2687, otu3014, otu3560, otu5674, otu13068, otu6877"
"COI","Nannochloropsis limnetica",4,"otu1282, otu8919, otu3724, otu6722"
"COI","Acartia margalefi",4,"otu1304, otu203, otu729, otu2035"
"COI","Acartia hudsonica",2,"otu1583, otu3906"
"COI","Aglantha digitale",2,"otu1886, otu825"
"COI","Oncaea scottodicarloi",8,"otu2083, otu2285, otu2364, otu4069, otu625, otu26323, otu3530, otu36303"
"COI","Tachidius discipes",4,"otu2531, otu3063, otu12104, otu3121"
"COI","Centropages hamatus",2,"otu275, otu365"
"COI","Oithona plumifera",2,"otu3166, otu5504"
"COI","Temora stylifera",3,"otu341, otu370, otu719"
"COI","Electra pilosa",2,"otu3567, otu97"
"COI","Mnemiopsis leidyi",2,"otu3966, otu953"
"COI","Schizoporella japonica",2,"otu4569, otu8515"
"COI","Pelagia noctiluca",3,"otu7046, otu2835, otu7935"
"COI","Agalma elegans",2,"otu734, otu735"
"COI","Clausocalanus arcuicornis",3,"otu20257, otu6952, otu7259"
"COI","Eurytemora affinis",2,"otu499, otu4985"
"COI","Nannocalanus minor",2,"otu65504, otu3163"
"COI","Chthamalus stellatus",2,"otu7598, otu8309"
"COI","Aurelia coerulea",2,"otu1059, otu641"
"COI","Ectopleura wrighti",2,"otu6596, otu10544"
"COI","Acrochaetium catenulatum",2,"otu6643, otu4869"
"COI","Centropages ponticus",3,"otu4539, otu2626, otu4642"
"COI","Chattonella marina",2,"otu1798, otu2004"
"COI","Mulinia lateralis",2,"otu8219, otu11848"
"COI","Boccardiella hamata",2,"otu1247, otu1690"
"COI","Polysiphonia sertularioides",2,"otu7863, otu15833"
