"design","n_bio_design","n_pcr_design","effort","n","pct_above_80_mean","pct_above_80_conservative","pct_above_80_optimistic","pct_above_50_mean","pct_above_95_mean","mean_p_detect","mean_CI_width"
"2×2",2,2,4,3505,14.7,0,100,49.2,0,0.549,0.733
"3×2",3,2,6,3505,23.3,0,100,100,10.6,0.652,0.738
"2×3",2,3,6,3505,16.4,0,100,54.3,0,0.6,0.74
"4×2",4,2,8,3505,29.2,10.6,100,100,14.5,0.72,0.704
"2×4",2,4,8,3505,17.5,0,100,54.3,0,0.629,0.74
"3×3",3,3,9,3505,28.9,0,100,100,12.7,0.699,0.719
"5×2",5,2,10,3505,43,12.9,100,100,14.8,0.767,0.674
"2×5",2,5,10,3505,17.6,0,100,100,0,0.643,0.732
"6×2",6,2,12,3505,49.2,14.7,100,100,19.5,0.805,0.644
"4×3",4,3,12,3505,36.5,12.7,100,100,16.2,0.767,0.674
"3×4",3,4,12,3505,29.4,0,100,100,14.2,0.727,0.698
"2×6",2,6,12,3505,19.3,0,100,100,0,0.654,0.728
"7×2",7,2,14,3505,49.2,16.2,100,100,24.3,0.832,0.608
"5×3",5,3,15,3505,43,14.6,100,100,17.9,0.814,0.633
"3×5",3,5,15,3505,36,0,100,100,15.7,0.747,0.689
"8×2",8,2,16,3505,54.3,17.7,100,100,24.5,0.856,0.582
"4×4",4,4,16,3505,36.5,14.4,100,100,17.5,0.791,0.649
"6×3",6,3,18,3505,50.4,16.2,100,100,24.3,0.84,0.6
"3×6",3,6,18,3505,36,0,100,100,15.8,0.756,0.685
"5×4",5,4,20,3505,50.4,16,100,100,18.9,0.834,0.603
"4×5",4,5,20,3505,36.5,15.7,100,100,17.5,0.806,0.64
"7×3",7,3,21,3505,54.3,17.5,100,100,28.9,0.871,0.554
"8×3",8,3,24,3505,100,20.7,100,100,28.9,0.885,0.536
"6×4",6,4,24,3505,54.3,17.5,100,100,24.6,0.864,0.56
"4×6",4,6,24,3505,37.6,15.7,100,100,17.5,0.818,0.619
"5×5",5,5,25,3505,50.4,17.3,100,100,20.9,0.848,0.585
"7×4",7,4,28,3505,100,17.5,100,100,29.4,0.887,0.525
"6×5",6,5,30,3505,100,17.5,100,100,28.9,0.875,0.542
"5×6",5,6,30,3505,54.3,17.5,100,100,17.9,0.854,0.577
"8×4",8,4,32,3505,100,20.9,100,100,36,0.903,0.496
"7×5",7,5,35,3505,100,17.5,100,100,36,0.899,0.495
"6×6",6,6,36,3505,100,17.5,100,100,29.4,0.881,0.538
"8×5",8,5,40,3505,100,20.9,100,100,36,0.912,0.498
"7×6",7,6,42,3505,100,17.6,100,100,36,0.903,0.492
"8×6",8,6,48,3505,100,24.6,100,100,36,0.919,0.458
