"design","n_bio_design","n_pcr_design","effort","n","pct_above_80_mean","pct_above_80_conservative","pct_above_80_optimistic","pct_above_50_mean","pct_above_95_mean","mean_p_detect","mean_CI_width"
"2×2",2,2,4,8239,37.9,0,100,69.2,0,0.664,0.643
"3×2",3,2,6,8239,46.8,0,100,100,28.1,0.75,0.596
"2×3",2,3,6,8239,39.3,0,100,71.3,0,0.701,0.644
"4×2",4,2,8,8239,51.8,28.1,100,100,35.4,0.804,0.546
"2×4",2,4,8,8239,42.7,0,100,71.3,0,0.721,0.64
"3×3",3,3,9,8239,50.5,0,100,100,30,0.787,0.577
"5×2",5,2,10,8239,64.1,34.5,100,100,38,0.841,0.503
"2×5",2,5,10,8239,43,0,100,100,0,0.731,0.637
"6×2",6,2,12,8239,69.2,37.2,100,100,43.9,0.868,0.467
"4×3",4,3,12,8239,56.7,30,100,100,39,0.838,0.522
"3×4",3,4,12,8239,51.8,0,100,100,31.8,0.803,0.569
"2×6",2,6,12,8239,40.2,0,100,100,0,0.74,0.63
"7×2",7,2,14,8239,69.2,39,100,100,46.8,0.885,0.438
"5×3",5,3,15,8239,64.1,38.2,100,100,42.2,0.87,0.476
"3×5",3,5,15,8239,54.4,0,100,100,38.2,0.815,0.556
"8×2",8,2,16,8239,71.3,41.8,100,100,47.4,0.902,0.411
"4×4",4,4,16,8239,56.7,31.8,100,100,39.3,0.852,0.505
"6×3",6,3,18,8239,71.3,39,100,100,47.4,0.894,0.431
"3×6",3,6,18,8239,54.4,0,100,100,37.3,0.822,0.557
"5×4",5,4,20,8239,71.3,39,100,100,42.7,0.885,0.461
"4×5",4,5,20,8239,56.7,32.8,100,100,39.9,0.862,0.494
"7×3",7,3,21,8239,71.3,39.3,100,100,50.5,0.91,0.402
"8×3",8,3,24,8239,100,44.4,100,100,50.5,0.923,0.38
"6×4",6,4,24,8239,71.3,39.9,100,100,50.5,0.907,0.418
"4×6",4,6,24,8239,58.8,32.8,100,100,39.9,0.867,0.486
"5×5",5,5,25,8239,71.3,39.5,100,100,44.7,0.892,0.443
"7×4",7,4,28,8239,100,39.9,100,100,50.6,0.922,0.381
"6×5",6,5,30,8239,100,39.9,100,100,50.5,0.913,0.4
"5×6",5,6,30,8239,71.3,39.9,100,100,47.7,0.898,0.433
"8×4",8,4,32,8239,100,47.4,100,100,54.4,0.934,0.351
"7×5",7,5,35,8239,100,39.9,100,100,54.4,0.93,0.368
"6×6",6,6,36,8239,100,39.9,100,100,50.6,0.917,0.394
"8×5",8,5,40,8239,100,47.7,100,100,54.4,0.939,0.341
"7×6",7,6,42,8239,100,40.2,100,100,54.4,0.933,0.356
"8×6",8,6,48,8239,100,44.8,100,100,54.4,0.945,0.328
