"Country","Site","Species","Marker","n_biosamples_positive","total_biosamples_at_site","n_pcr_positive","total_pcr_at_site","theta","p_empirical","mean_p_pcr","confidence_score","total_reads","total_reads_at_site","prop_reads","pcr_distribution","pcr_spread_ratio","Reliable"
"Denmark","Denmark_1","Amphibalanus improvisus","COI",2,3,6,9,0.666666666666667,0.666666666666667,1,0.65,13021,904231,0.0144000813951302,"6",1,"Reliable"
"Denmark","Denmark_1","Neogobius melanostomus","12S",3,3,8,9,1,0.888888888888889,0.888888888888889,1,12114,241502,0.0501610752705982,"8",1,"Reliable"
"Denmark","Denmark_2","Neogobius melanostomus","12S",2,2,3,6,1,0.5,0.5,0.9,1389,45023,0.0308508984296915,"3",1,"Reliable"
"Denmark","Denmark_2","Amphibalanus improvisus","COI",1,2,3,6,0.5,0.5,1,0.35,742,742737,0.000999007724133845,"3",1,"Unreliable"
"Finland","Finland_1","Neogobius melanostomus","12S",1,3,1,8,0.333333333333333,0.125,0.333333333333333,0.1,509,27970,0.0181980693600286,"1",1,"Unreliable"
"Finland","Finland_1","Rhithropanopeus harrisii","12S",1,3,1,8,0.333333333333333,0.125,0.333333333333333,0.1,33,27970,0.00117983553807651,"1",1,"Unreliable"
"France","France_1","Watersipora subatra","12S",3,3,6,8,1,0.75,0.777777777777778,1,8937,497245,0.0179730314030307,"6",1,"Reliable"
"France","France_1","Hydroides elegans","18S",1,2,1,6,0.5,0.166666666666667,0.333333333333333,0.1,118,236658,0.000498609808246499,"1",1,"Unreliable"
"Germany","Germany_1","Amphibalanus improvisus","COI",3,3,8,9,1,0.888888888888889,0.888888888888889,1,2268,931232,0.00243548331672451,"8",1,"Reliable"
"Germany","Germany_1","Neogobius melanostomus","12S",3,3,9,9,1,1,1,1,59929,329142,0.182076429018478,"9",1,"Reliable"
"Germany","Germany_1","Rhithropanopeus harrisii","12S",1,3,1,9,0.333333333333333,0.111111111111111,0.333333333333333,0.1,36,329142,0.000109375284831471,"1",1,"Unreliable"
"Greece","Greece_1","Fistularia commersonii","12S",2,3,3,9,0.666666666666667,0.333333333333333,0.5,0.65,2274,63421,0.0358556314154618,"3",1,"Marginal"
