"Country","Site","BioSample","OTU","n_pcr_positive","n_pcr_total","p_pcr","total_reads"
"Netherlands","Netherlands_6","BGEMIS0502","otu1039",2,3,0.666666666666667,782
"Netherlands","Netherlands_6","BGEMIS0502","otu104",3,3,1,33629
"Netherlands","Netherlands_6","BGEMIS0502","otu117",1,3,0.333333333333333,201
"Netherlands","Netherlands_6","BGEMIS0502","otu130",2,3,0.666666666666667,467
"Netherlands","Netherlands_6","BGEMIS0502","otu150",3,3,1,1573
"Netherlands","Netherlands_6","BGEMIS0502","otu162",1,3,0.333333333333333,126
"Netherlands","Netherlands_6","BGEMIS0502","otu208",1,3,0.333333333333333,93
"Netherlands","Netherlands_6","BGEMIS0502","otu23",3,3,1,320081
"Netherlands","Netherlands_6","BGEMIS0502","otu3",3,3,1,3325
"Netherlands","Netherlands_6","BGEMIS0502","otu40",3,3,1,2436
"Netherlands","Netherlands_6","BGEMIS0502","otu43",3,3,1,202531
"Netherlands","Netherlands_6","BGEMIS0502","otu432",1,3,0.333333333333333,169
"Netherlands","Netherlands_6","BGEMIS0502","otu446",1,3,0.333333333333333,88
"Netherlands","Netherlands_6","BGEMIS0502","otu45",3,3,1,11216
"Netherlands","Netherlands_6","BGEMIS0502","otu450",3,3,1,946
"Netherlands","Netherlands_6","BGEMIS0502","otu47",3,3,1,1430
"Netherlands","Netherlands_6","BGEMIS0502","otu492",1,3,0.333333333333333,84
"Netherlands","Netherlands_6","BGEMIS0502","otu537",1,3,0.333333333333333,117
"Netherlands","Netherlands_6","BGEMIS0502","otu549",1,3,0.333333333333333,105
"Netherlands","Netherlands_6","BGEMIS0502","otu56",3,3,1,4129
"Netherlands","Netherlands_6","BGEMIS0502","otu570",2,3,0.666666666666667,491
"Netherlands","Netherlands_6","BGEMIS0502","otu6",3,3,1,3182
"Netherlands","Netherlands_6","BGEMIS0502","otu75",3,3,1,15343
"Netherlands","Netherlands_6","BGEMIS0502","otu83",1,3,0.333333333333333,89
"Netherlands","Netherlands_6","BGEMIS0502","otu304",1,3,0.333333333333333,93
"Netherlands","Netherlands_6","BGEMIS0502","otu199",3,3,1,3574
"Netherlands","Netherlands_6","BGEMIS0502","otu205",1,3,0.333333333333333,125
"Netherlands","Netherlands_6","BGEMIS0502","otu36",3,3,1,10150
"Netherlands","Netherlands_6","BGEMIS0502","otu554",1,3,0.333333333333333,84
"Netherlands","Netherlands_6","BGEMIS0502","otu173",1,3,0.333333333333333,77
"Netherlands","Netherlands_6","BGEMIS0502","otu390",3,3,1,10910
"Netherlands","Netherlands_6","BGEMIS0502","otu60",2,3,0.666666666666667,980
"Netherlands","Netherlands_6","BGEMIS0502","otu895",1,3,0.333333333333333,102
"Netherlands","Netherlands_6","BGEMIS0502","otu1284",1,3,0.333333333333333,88
"Netherlands","Netherlands_6","BGEMIS0502","otu1724",1,3,0.333333333333333,82
"Netherlands","Netherlands_6","BGEMIS0502","otu46",3,3,1,889
"Netherlands","Netherlands_6","BGEMIS0502","otu483",1,3,0.333333333333333,106
