"Country","Site","BioSample","OTU","n_pcr_positive","n_pcr_total","p_pcr","total_reads"
"Netherlands","Netherlands_6","BGEMIS0502","otu14",3,3,1,33773
"Netherlands","Netherlands_6","BGEMIS0502","otu1625",1,3,0.333333333333333,132
"Netherlands","Netherlands_6","BGEMIS0502","otu194",3,3,1,455
"Netherlands","Netherlands_6","BGEMIS0502","otu196",3,3,1,402
"Netherlands","Netherlands_6","BGEMIS0502","otu237",3,3,1,1187
"Netherlands","Netherlands_6","BGEMIS0502","otu25",3,3,1,69380
"Netherlands","Netherlands_6","BGEMIS0502","otu252",3,3,1,464
"Netherlands","Netherlands_6","BGEMIS0502","otu26",3,3,1,17984
"Netherlands","Netherlands_6","BGEMIS0502","otu274",3,3,1,427
"Netherlands","Netherlands_6","BGEMIS0502","otu44",3,3,1,132650
"Netherlands","Netherlands_6","BGEMIS0502","otu46",3,3,1,2067
"Netherlands","Netherlands_6","BGEMIS0502","otu517",3,3,1,593
"Netherlands","Netherlands_6","BGEMIS0502","otu7",3,3,1,26101
"Netherlands","Netherlands_6","BGEMIS0502","otu90",3,3,1,5714
"Netherlands","Netherlands_6","BGEMIS0502","otu254",3,3,1,2450
"Netherlands","Netherlands_6","BGEMIS0502","otu42",3,3,1,1701
"Netherlands","Netherlands_6","BGEMIS0502","otu17",3,3,1,932
"Netherlands","Netherlands_6","BGEMIS0502","otu200",3,3,1,1526
"Netherlands","Netherlands_6","BGEMIS0502","otu65",3,3,1,1106
"Netherlands","Netherlands_6","BGEMIS0502","otu499",3,3,1,13091
"Netherlands","Netherlands_6","BGEMIS0502","otu1175",3,3,1,2354
"Netherlands","Netherlands_6","BGEMIS0502","otu2288",3,3,1,1341
"Netherlands","Netherlands_6","BGEMIS0502","otu2741",3,3,1,531
"Netherlands","Netherlands_6","BGEMIS0502","otu347",1,3,0.333333333333333,93
"Netherlands","Netherlands_6","BGEMIS0502","otu504",3,3,1,718
"Netherlands","Netherlands_6","BGEMIS0502","otu1152",3,3,1,361
"Netherlands","Netherlands_6","BGEMIS0502","otu2016",3,3,1,618
"Netherlands","Netherlands_6","BGEMIS0512","otu14",3,3,1,26334
"Netherlands","Netherlands_6","BGEMIS0512","otu1625",3,3,1,264
"Netherlands","Netherlands_6","BGEMIS0512","otu194",3,3,1,357
"Netherlands","Netherlands_6","BGEMIS0512","otu196",3,3,1,327
"Netherlands","Netherlands_6","BGEMIS0512","otu232",1,3,0.333333333333333,79
"Netherlands","Netherlands_6","BGEMIS0512","otu237",3,3,1,857
"Netherlands","Netherlands_6","BGEMIS0512","otu25",3,3,1,49630
"Netherlands","Netherlands_6","BGEMIS0512","otu252",3,3,1,358
"Netherlands","Netherlands_6","BGEMIS0512","otu26",3,3,1,11153
"Netherlands","Netherlands_6","BGEMIS0512","otu274",3,3,1,547
"Netherlands","Netherlands_6","BGEMIS0512","otu44",3,3,1,81419
"Netherlands","Netherlands_6","BGEMIS0512","otu46",3,3,1,1627
"Netherlands","Netherlands_6","BGEMIS0512","otu517",3,3,1,522
"Netherlands","Netherlands_6","BGEMIS0512","otu619",3,3,1,290
"Netherlands","Netherlands_6","BGEMIS0512","otu7",3,3,1,18177
"Netherlands","Netherlands_6","BGEMIS0512","otu90",3,3,1,4541
"Netherlands","Netherlands_6","BGEMIS0512","otu942",1,3,0.333333333333333,71
"Netherlands","Netherlands_6","BGEMIS0512","otu254",3,3,1,1772
"Netherlands","Netherlands_6","BGEMIS0512","otu42",3,3,1,1692
"Netherlands","Netherlands_6","BGEMIS0512","otu17",3,3,1,640
"Netherlands","Netherlands_6","BGEMIS0512","otu200",3,3,1,1204
"Netherlands","Netherlands_6","BGEMIS0512","otu247",3,3,1,275
"Netherlands","Netherlands_6","BGEMIS0512","otu65",3,3,1,862
"Netherlands","Netherlands_6","BGEMIS0512","otu78",2,3,0.666666666666667,180
"Netherlands","Netherlands_6","BGEMIS0512","otu499",3,3,1,4951
"Netherlands","Netherlands_6","BGEMIS0512","otu1175",3,3,1,1551
"Netherlands","Netherlands_6","BGEMIS0512","otu2288",3,3,1,928
"Netherlands","Netherlands_6","BGEMIS0512","otu2741",3,3,1,353
"Netherlands","Netherlands_6","BGEMIS0512","otu347",2,3,0.666666666666667,180
"Netherlands","Netherlands_6","BGEMIS0512","otu504",3,3,1,499
"Netherlands","Netherlands_6","BGEMIS0512","otu1152",2,3,0.666666666666667,189
"Netherlands","Netherlands_6","BGEMIS0512","otu2016",3,3,1,548
"Netherlands","Netherlands_4","BGEMIS0504","otu1019",1,3,0.333333333333333,101
"Netherlands","Netherlands_4","BGEMIS0504","otu10272",1,3,0.333333333333333,74
"Netherlands","Netherlands_4","BGEMIS0504","otu104",1,3,0.333333333333333,157
"Netherlands","Netherlands_4","BGEMIS0504","otu1044",2,3,0.666666666666667,239
"Netherlands","Netherlands_4","BGEMIS0504","otu1136",2,3,0.666666666666667,617
"Netherlands","Netherlands_4","BGEMIS0504","otu1166",1,3,0.333333333333333,32
"Netherlands","Netherlands_4","BGEMIS0504","otu119",1,3,0.333333333333333,222
