"Country","Site","n_biosamples","n_pcr_total","pcr_per_biosample"
"Denmark","Denmark_1",3,9,3
"Denmark","Denmark_2",2,6,3
"Finland","Finland_1",3,8,2.66666666666667
"France","France_1",3,8,2.66666666666667
"Germany","Germany_1",3,9,3
"Greece","Greece_1",3,9,3
"Greece","Greece_2",3,9,3
"Greece","Greece_3",3,9,3
"Greece","Greece_4",3,9,3
"Greece","Greece_5",3,9,3
"Greece","Greece_6",3,9,3
"Greece","Greece_7",3,9,3
"Greece","Greece_8",3,9,3
"Italy","Italy_1",3,9,3
"Italy","Italy_2",3,9,3
"Italy","Italy_3",3,8,2.66666666666667
"Italy","Italy_4",3,9,3
"Netherlands","Netherlands_1",3,9,3
"Netherlands","Netherlands_2",3,9,3
"Netherlands","Netherlands_3",3,9,3
"Netherlands","Netherlands_4",3,8,2.66666666666667
"Netherlands","Netherlands_5",3,9,3
"Netherlands","Netherlands_6",2,6,3
"Netherlands","Netherlands_7",3,9,3
"Norway","Norway_1",3,9,3
"Norway","Norway_2",3,9,3
"Norway","Norway_3",3,9,3
"Norway","Norway_4",3,8,2.66666666666667
"Norway","Norway_5",3,9,3
"Poland","Poland_1",3,8,2.66666666666667
"Portugal","Portugal_1",3,9,3
"Portugal","Portugal_2",3,9,3
"Portugal","Portugal_3",3,9,3
"Portugal","Portugal_4",3,9,3
"Spain","Spain_1",3,9,3
"Spain","Spain_10",3,9,3
"Spain","Spain_2",3,8,2.66666666666667
"Spain","Spain_3",3,9,3
"Spain","Spain_4",3,9,3
"Spain","Spain_5",3,9,3
"Spain","Spain_6",3,8,2.66666666666667
"Spain","Spain_7",3,9,3
"Spain","Spain_8",3,9,3
"Spain","Spain_9",3,7,2.33333333333333
"UK","UK_1",3,9,3
"UK","UK_2",3,9,3
