"Country","Site","OTU","n_biosamples_positive","n_pcr_positive","n_pcr_total","mean_p_pcr","min_p_pcr","max_p_pcr","min_pcr_per_pos_biosample","max_pcr_per_pos_biosample","pcr_distribution","total_reads","p_pcr_pooled","pcr_spread_ratio","total_biosamples_at_site","total_pcr_at_site","p_empirical","theta","p_star","p_detect_site","confidence_score","reliability","confidence","Phylum","Class","Order","Family","Genus","Species"
"Denmark","Denmark_1","otu1",3,9,9,1,1,1,9,9,"9",1985,1,1,3,9,1,1,1,1,1,"Reliable","Very high",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu100",1,3,3,1,1,1,3,3,"3",609,1,1,3,9,0.333333333333333,0.333333333333333,1,0.703703703703704,0.35,"Marginal","Low","Ctenophora","Tentaculata",NA,NA,NA,NA
"Denmark","Denmark_1","otu1001",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",49,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,"uncultured eukaryote"
"Denmark","Denmark_1","otu10131",1,3,3,1,1,1,3,3,"3",293,1,1,3,9,0.333333333333333,0.333333333333333,1,0.703703703703704,0.35,"Marginal","Low",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu102",2,3,6,0.5,0.333333333333333,0.666666666666667,3,3,"3",159,0.5,1,3,9,0.333333333333333,0.666666666666667,0.875,0.927662037037037,0.65,"Marginal","High",NA,"Dinophyceae","Gymnodiniales","Gymnodiniaceae","Syltodinium","Syltodinium listii"
"Denmark","Denmark_1","otu10204",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",37,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu10221",2,4,6,0.666666666666667,0.333333333333333,1,4,4,"4",92,0.666666666666667,1,3,9,0.444444444444444,0.666666666666667,0.962962962962963,0.954107793715577,0.65,"Marginal","High",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1061",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",32,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,"uncultured eukaryote"
"Denmark","Denmark_1","otu10719",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",128,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu110",3,7,9,0.777777777777778,0.333333333333333,1,7,7,"7",717,0.777777777777778,1,3,9,0.777777777777778,1,0.989026063100137,0.999998678438507,1,"Reliable","Very high",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1104",3,9,9,1,1,1,9,9,"9",711,1,1,3,9,1,1,1,1,1,"Reliable","Very high",NA,NA,NA,NA,NA,"uncultured eukaryote"
"Denmark","Denmark_1","otu111",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",31,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu11182",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",28,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1120",3,7,9,0.777777777777778,0.333333333333333,1,7,7,"7",715,0.777777777777778,1,3,9,0.777777777777778,1,0.989026063100137,0.999998678438507,1,"Reliable","Very high",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu11200",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",101,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1121",2,4,6,0.666666666666667,0.333333333333333,1,4,4,"4",170,0.666666666666667,1,3,9,0.444444444444444,0.666666666666667,0.962962962962963,0.954107793715577,0.65,"Marginal","High",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu11494",2,2,6,0.333333333333333,0.333333333333333,0.333333333333333,2,2,"2",82,0.333333333333333,1,3,9,0.222222222222222,0.666666666666667,0.703703703703704,0.850393552623904,0.65,"Unreliable","High",NA,"Chrysophyceae",NA,NA,NA,"uncultured Chrysophyceae"
"Denmark","Denmark_1","otu11714",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",32,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,"Bigyra","Labyrinthulida","Labyrinthulaceae","Labyrinthula","Labyrinthula terrestris"
"Denmark","Denmark_1","otu1186",1,2,3,0.666666666666667,0.666666666666667,0.666666666666667,2,2,"2",92,0.666666666666667,1,3,9,0.222222222222222,0.333333333333333,0.962962962962963,0.686936085096934,0.25,"Unreliable","Low",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1190",1,2,3,0.666666666666667,0.666666666666667,0.666666666666667,2,2,"2",118,0.666666666666667,1,3,9,0.222222222222222,0.333333333333333,0.962962962962963,0.686936085096934,0.25,"Unreliable","Low","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia",NA
