"Country","Site","OTU","n_biosamples_positive","n_pcr_positive","n_pcr_total","mean_p_pcr","min_p_pcr","max_p_pcr","min_pcr_per_pos_biosample","max_pcr_per_pos_biosample","pcr_distribution","total_reads","p_pcr_pooled","pcr_spread_ratio","total_biosamples_at_site","total_pcr_at_site","p_empirical","theta","p_star","p_detect_site","confidence_score","reliability","confidence","Phylum","Class","Order","Family","Genus","Species"
"Denmark","Denmark_1","otu1",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",124,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas",NA
"Denmark","Denmark_1","otu101",1,2,3,0.666666666666667,0.666666666666667,0.666666666666667,2,2,"2",499,0.666666666666667,1,3,9,0.222222222222222,0.333333333333333,0.962962962962963,0.686936085096934,0.25,"Unreliable","Low","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Aurelia aurita"
"Denmark","Denmark_1","otu102",3,8,9,0.888888888888889,0.666666666666667,1,8,8,"8",3106,0.888888888888889,1,3,9,0.888888888888889,1,0.998628257887517,0.999999997418825,1,"Reliable","Very high","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Gonothyraea","Gonothyraea loveni"
"Denmark","Denmark_1","otu10313",1,3,3,1,1,1,3,3,"3",500,1,1,3,9,0.333333333333333,0.333333333333333,1,0.703703703703704,0.35,"Marginal","Low",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu10350",1,2,3,0.666666666666667,0.666666666666667,0.666666666666667,2,2,"2",384,0.666666666666667,1,3,9,0.222222222222222,0.333333333333333,0.962962962962963,0.686936085096934,0.25,"Unreliable","Low","Mollusca","Bivalvia","Nuculida","Nuculidae","Nucula","Nucula nitidosa"
"Denmark","Denmark_1","otu1044",1,3,3,1,1,1,3,3,"3",6418,1,1,3,9,0.333333333333333,0.333333333333333,1,0.703703703703704,0.35,"Marginal","Low",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu10536",1,2,3,0.666666666666667,0.666666666666667,0.666666666666667,2,2,"2",331,0.666666666666667,1,3,9,0.222222222222222,0.333333333333333,0.962962962962963,0.686936085096934,0.25,"Unreliable","Low",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu10562",1,2,3,0.666666666666667,0.666666666666667,0.666666666666667,2,2,"2",500,0.666666666666667,1,3,9,0.222222222222222,0.333333333333333,0.962962962962963,0.686936085096934,0.25,"Unreliable","Low",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu10598",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",316,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1081",3,8,9,0.888888888888889,0.666666666666667,1,8,8,"8",3402,0.888888888888889,1,3,9,0.888888888888889,1,0.998628257887517,0.999999997418825,1,"Reliable","Very high",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1088",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",193,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify","Bacillariophyta","Mediophyceae",NA,NA,NA,NA
"Denmark","Denmark_1","otu109",3,6,9,0.666666666666667,0.333333333333333,1,6,6,"6",897,0.666666666666667,1,3,9,0.666666666666667,1,0.962962962962963,0.999949194736575,0.9,"Reliable","Very high",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1092",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",88,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify","Discosea",NA,"Himatismenida",NA,"Parvamoeba","Parvamoeba rugata"
"Denmark","Denmark_1","otu11",1,3,3,1,1,1,3,3,"3",1425,1,1,3,9,0.333333333333333,0.333333333333333,1,0.703703703703704,0.35,"Marginal","Low","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","Paracalanus parvus"
"Denmark","Denmark_1","otu11206",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",293,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu1128",3,9,9,1,1,1,9,9,"9",2861,1,1,3,9,1,1,1,1,1,"Reliable","Very high",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu113",3,8,9,0.888888888888889,0.666666666666667,1,8,8,"8",1492,0.888888888888889,1,3,9,0.888888888888889,1,0.998628257887517,0.999999997418825,1,"Reliable","Very high","Haptophyta",NA,"Isochrysidales","Noelaerhabdaceae",NA,NA
"Denmark","Denmark_1","otu114",3,7,9,0.777777777777778,0.333333333333333,1,7,7,"7",2207,0.777777777777778,1,3,9,0.777777777777778,1,0.989026063100137,0.999998678438507,1,"Reliable","Very high","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales",NA,NA,NA
"Denmark","Denmark_1","otu11425",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",83,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu11436",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",409,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu11557",1,2,3,0.666666666666667,0.666666666666667,0.666666666666667,2,2,"2",536,0.666666666666667,1,3,9,0.222222222222222,0.333333333333333,0.962962962962963,0.686936085096934,0.25,"Unreliable","Low","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae",NA,NA
"Denmark","Denmark_1","otu11892",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",400,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"Denmark","Denmark_1","otu119",3,8,9,0.888888888888889,0.666666666666667,1,8,8,"8",2818,0.888888888888889,1,3,9,0.888888888888889,1,0.998628257887517,0.999999997418825,1,"Reliable","Very high",NA,NA,NA,NA,NA,NA
"Denmark","Denmark_1","otu11917",1,1,3,0.333333333333333,0.333333333333333,0.333333333333333,1,1,"1",173,0.333333333333333,1,3,9,0.111111111111111,0.333333333333333,0.703703703703704,0.551543821421381,0.1,"Unreliable","Single detection - verify","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"Denmark","Denmark_1","otu120",3,9,9,1,1,1,9,9,"9",8406,1,1,3,9,1,1,1,1,1,"Reliable","Very high",NA,NA,NA,NA,NA,NA
