Species,Location,EASIN_status,GISD_status,invasive_flag
Acartia tonsa,Denmark,No_EASIN_data,Acartia tonsa; Not in GISD,GISD_listed_globally
Alitta succinea,Denmark,No_EASIN_data,Alitta succinea; Invasive,GISD_listed_globally
Amphibalanus improvisus,Denmark,No_EASIN_data,Amphibalanus improvisus; Not in GISD,GISD_listed_globally
Attheya longicornis,Denmark,No_EASIN_data,Attheya longicornis; Not in GISD,GISD_listed_globally
Aurelia aurita,Denmark,No_EASIN_data,Aurelia aurita; Not in GISD,GISD_listed_globally
Aureococcus anophagefferens,Denmark,No_EASIN_data,Aureococcus anophagefferens; Not in GISD,GISD_listed_globally
Bathycoccus prasinos,Denmark,No_EASIN_data,Bathycoccus prasinos; Not in GISD,GISD_listed_globally
Calma gobioophaga,Denmark,No_EASIN_data,Calma gobioophaga; Not in GISD,GISD_listed_globally
Chaetoceros socialis,Denmark,No_EASIN_data,Chaetoceros socialis; Not in GISD,GISD_listed_globally
Ditylum brightwellii,Denmark,No_EASIN_data,Ditylum brightwellii; Not in GISD,GISD_listed_globally
Electra pilosa,Denmark,No_EASIN_data,Electra pilosa; Not in GISD,GISD_listed_globally
Fibrocapsa japonica,Denmark,No_EASIN_data,Fibrocapsa japonica; Not in GISD,GISD_listed_globally
Filobasidium floriforme,Denmark,No_EASIN_data,Filobasidium floriforme; Not in GISD,GISD_listed_globally
Gonothyraea loveni,Denmark,No_EASIN_data,Gonothyraea loveni; Not in GISD,GISD_listed_globally
Guinardia delicatula,Denmark,No_EASIN_data,Guinardia delicatula; Not in GISD,GISD_listed_globally
Micromonas pusilla,Denmark,No_EASIN_data,Micromonas pusilla; Not in GISD,GISD_listed_globally
Nannochloropsis limnetica,Denmark,No_EASIN_data,Nannochloropsis limnetica; Not in GISD,GISD_listed_globally
Nucula nitidosa,Denmark,No_EASIN_data,Nucula nitidosa; Not in GISD,GISD_listed_globally
Octactis speculum,Denmark,No_EASIN_data,Octactis speculum; Not in GISD,GISD_listed_globally
Paracalanus parvus,Denmark,No_EASIN_data,Paracalanus parvus; Not in GISD,GISD_listed_globally
Parvamoeba rugata,Denmark,No_EASIN_data,Parvamoeba rugata; Not in GISD,GISD_listed_globally
Polydora cornuta,Denmark,No_EASIN_data,Polydora cornuta; Not in GISD,GISD_listed_globally
Pseudochattonella farcimen,Denmark,No_EASIN_data,Pseudochattonella farcimen; Not in GISD,GISD_listed_globally
Rhodotorula mucilaginosa,Denmark,No_EASIN_data,Rhodotorula mucilaginosa; Not in GISD,GISD_listed_globally
Skeletonema pseudocostatum,Denmark,No_EASIN_data,Skeletonema pseudocostatum; Not in GISD,GISD_listed_globally
Tachidius discipes,Denmark,No_EASIN_data,Tachidius discipes; Not in GISD,GISD_listed_globally
Tausonia pullulans,Denmark,No_EASIN_data,Tausonia pullulans; Not in GISD,GISD_listed_globally
uncultured diatom,Denmark,No_EASIN_data,uncultured diatom; Not in GISD,GISD_listed_globally
Acartia tonsa,Finland,No_EASIN_data,Acartia tonsa; Not in GISD,GISD_listed_globally
Micromonas pusilla,Finland,No_EASIN_data,Micromonas pusilla; Not in GISD,GISD_listed_globally
Nannochloropsis limnetica,Finland,No_EASIN_data,Nannochloropsis limnetica; Not in GISD,GISD_listed_globally
