Species,Location,GISD_status,EASIN_status,invasive_flag
Acanthocyclops americanus,Netherlands,Invasive,No_EASIN_data,GISD_listed_globally
Acanthonyx lunulatus,Greece,Acanthonyx lunulatus; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia bifilosa,Germany,Acartia bifilosa; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia bifilosa,Netherlands,Acartia bifilosa; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia bifilosa,Poland,Acartia bifilosa; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia clausii,Greece,Acartia clausii; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia clausii,Netherlands,Acartia clausii; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia clausii,Norway,Acartia clausii; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia clausii,Portugal,Acartia clausii; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia clausii,Spain,Acartia clausii; Not in GISD,Not_listed,GISD_listed_globally
Acartia clausii,Ukraine,Acartia clausii; Not in GISD,Country_not_mapped,GISD_listed_globally
Acartia hudsonica,Norway,Acartia hudsonica; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia longiremis,Norway,Acartia longiremis; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia longiremis,Poland,Acartia longiremis; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia margalefi,Greece,Acartia margalefi; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia margalefi,Italy,Acartia margalefi; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia margalefi,Portugal,Acartia margalefi; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia margalefi,Spain,Acartia margalefi; Not in GISD,Not_listed,GISD_listed_globally
Acartia tonsa,Denmark,Acartia tonsa; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia tonsa,Finland,Acartia tonsa; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia tonsa,Germany,Acartia tonsa; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia tonsa,NA,Acartia tonsa; Not in GISD,Country_not_mapped,GISD_listed_globally
Acartia tonsa,Netherlands,Acartia tonsa; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia tonsa,Norway,Acartia tonsa; Not in GISD,No_EASIN_data,GISD_listed_globally
Acartia tonsa,Ukraine,Acartia tonsa; Not in GISD,Country_not_mapped,GISD_listed_globally
Acasta spongites,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Aceria tosichella,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Acrispumella msimbaziensis,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Acrochaetium catenulatum,Greece,Acrochaetium catenulatum; Not in GISD,No_EASIN_data,GISD_listed_globally
Acrochaetium secundatum,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Actinostella flosculifera,Greece,Actinostella flosculifera; Not in GISD,No_EASIN_data,GISD_listed_globally
Aequorea macrodactyla,Greece,Invasive,No_EASIN_data,GISD_listed_globally
Agalma elegans,Greece,Agalma elegans; Not in GISD,No_EASIN_data,GISD_listed_globally
Agalma elegans,Norway,Agalma elegans; Not in GISD,No_EASIN_data,GISD_listed_globally
Aglantha digitale,Norway,Aglantha digitale; Not in GISD,No_EASIN_data,GISD_listed_globally
Aglaura hemistoma,Spain,Aglaura hemistoma; Not in GISD,Not_listed,GISD_listed_globally
Ahnfeltia borealis,Germany,Ahnfeltia borealis; Not in GISD,No_EASIN_data,GISD_listed_globally
Ahnfeltia plicata,Germany,Ahnfeltia plicata; Not in GISD,No_EASIN_data,GISD_listed_globally
Akera bullata,Portugal,Akera bullata; Not in GISD,No_EASIN_data,GISD_listed_globally
Alitta succinea,Denmark,Alitta succinea; Invasive,No_EASIN_data,GISD_listed_globally
Alitta succinea,Germany,Alitta succinea; Invasive,No_EASIN_data,GISD_listed_globally
Alitta succinea,Netherlands,Alitta succinea; Invasive,No_EASIN_data,GISD_listed_globally
Alitta succinea,Ukraine,Alitta succinea; Invasive,Country_not_mapped,GISD_listed_globally
Amathia gracilis,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Amphibalanus amphitrite,Greece,Amphibalanus amphitrite; Not in GISD,No_EASIN_data,GISD_listed_globally
Amphibalanus amphitrite,Spain,Amphibalanus amphitrite; Not in GISD,Not_listed,GISD_listed_globally
Amphibalanus eburneus,Ukraine,Invasive,Country_not_mapped,GISD_listed_globally
Amphibalanus improvisus,Denmark,Amphibalanus improvisus; Not in GISD,No_EASIN_data,GISD_listed_globally
Amphibalanus improvisus,Germany,Amphibalanus improvisus; Not in GISD,No_EASIN_data,GISD_listed_globally
Amphibalanus improvisus,Netherlands,Amphibalanus improvisus; Not in GISD,No_EASIN_data,GISD_listed_globally
Amphibalanus improvisus,Norway,Amphibalanus improvisus; Not in GISD,No_EASIN_data,GISD_listed_globally
Amphibalanus improvisus,Ukraine,Amphibalanus improvisus; Not in GISD,Country_not_mapped,GISD_listed_globally
Amphilectus fucorum,United Kingdom,Amphilectus fucorum; Not in GISD,No_EASIN_data,GISD_listed_globally
Amphinema dinema,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Amphinema rugosum,Italy,Amphinema rugosum; Not in GISD,No_EASIN_data,GISD_listed_globally
Amphiura chiajei,Norway,Amphiura chiajei; Not in GISD,No_EASIN_data,GISD_listed_globally
Amphiura filiformis,Norway,Amphiura filiformis; Not in GISD,No_EASIN_data,GISD_listed_globally
Ampithoe ramondi,Ukraine,Invasive,Country_not_mapped,GISD_listed_globally
Anacaena lutescens,Greece,Anacaena lutescens; Not in GISD,No_EASIN_data,GISD_listed_globally
Anacaena lutescens,Italy,Anacaena lutescens; Not in GISD,No_EASIN_data,GISD_listed_globally
Anacaena lutescens,Spain,Anacaena lutescens; Not in GISD,Not_listed,GISD_listed_globally
Ancyromonas sigmoides,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Anisolpidium ectocarpii,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Anteaeolidiella lurana,Italy,Anteaeolidiella lurana; Not in GISD,No_EASIN_data,GISD_listed_globally
Antedon bifida,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Aonides paucibranchiata,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Arbacia lixula,Italy,Arbacia lixula; Not in GISD,No_EASIN_data,GISD_listed_globally
Arenicola marina,Netherlands,Arenicola marina; Not in GISD,No_EASIN_data,GISD_listed_globally
Arenicola marina,Norway,Arenicola marina; Not in GISD,No_EASIN_data,GISD_listed_globally
Ascidia ahodori,France,Ascidia ahodori; Not in GISD,Not_listed,GISD_listed_globally
Ascidia ahodori,Greece,Ascidia ahodori; Not in GISD,No_EASIN_data,GISD_listed_globally
Ascidia ahodori,Italy,Ascidia ahodori; Not in GISD,No_EASIN_data,GISD_listed_globally
Ascidia ahodori,Portugal,Ascidia ahodori; Not in GISD,No_EASIN_data,GISD_listed_globally
Ascidia ahodori,Spain,Ascidia ahodori; Not in GISD,Not_listed,GISD_listed_globally
Ascidia ahodori,Ukraine,Ascidia ahodori; Not in GISD,Country_not_mapped,GISD_listed_globally
Asterias rubens,Netherlands,Asterias rubens; Not in GISD,No_EASIN_data,GISD_listed_globally
Asterias rubens,Norway,Asterias rubens; Not in GISD,No_EASIN_data,GISD_listed_globally
Asterias rubens,Portugal,Asterias rubens; Not in GISD,No_EASIN_data,GISD_listed_globally
Asterionella formosa,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Asterionellopsis lenisilicea,Portugal,Asterionellopsis lenisilicea; Not in GISD,No_EASIN_data,GISD_listed_globally
Asterionellopsis lenisilicea,United Kingdom,Asterionellopsis lenisilicea; Not in GISD,No_EASIN_data,GISD_listed_globally
Asterionellopsis thurstonii,France,Asterionellopsis thurstonii; Not in GISD,Not_listed,GISD_listed_globally
Asterionellopsis thurstonii,Greece,Asterionellopsis thurstonii; Not in GISD,No_EASIN_data,GISD_listed_globally
Asterionellopsis thurstonii,Spain,Asterionellopsis thurstonii; Not in GISD,Not_listed,GISD_listed_globally
Attheya longicornis,Denmark,Attheya longicornis; Not in GISD,No_EASIN_data,GISD_listed_globally
Attheya longicornis,Germany,Attheya longicornis; Not in GISD,No_EASIN_data,GISD_listed_globally
Aulacoseira ambigua,Netherlands,Aulacoseira ambigua; Not in GISD,No_EASIN_data,GISD_listed_globally
Aulacoseira ambigua,United Kingdom,Aulacoseira ambigua; Not in GISD,No_EASIN_data,GISD_listed_globally
Aurelia aurita,Denmark,Aurelia aurita; Not in GISD,No_EASIN_data,GISD_listed_globally
Aurelia aurita,Germany,Aurelia aurita; Not in GISD,No_EASIN_data,GISD_listed_globally
Aurelia aurita,Netherlands,Aurelia aurita; Not in GISD,No_EASIN_data,GISD_listed_globally
Aurelia aurita,Norway,Aurelia aurita; Not in GISD,No_EASIN_data,GISD_listed_globally
Aurelia aurita,Poland,Aurelia aurita; Not in GISD,No_EASIN_data,GISD_listed_globally
Aurelia aurita,Ukraine,Aurelia aurita; Not in GISD,Country_not_mapped,GISD_listed_globally
Aurelia coerulea,Greece,Aurelia coerulea; Not in GISD,No_EASIN_data,GISD_listed_globally
Aureococcus anophagefferens,Denmark,Aureococcus anophagefferens; Not in GISD,No_EASIN_data,GISD_listed_globally
Aureococcus anophagefferens,Greece,Aureococcus anophagefferens; Not in GISD,No_EASIN_data,GISD_listed_globally
Aureococcus anophagefferens,Italy,Aureococcus anophagefferens; Not in GISD,No_EASIN_data,GISD_listed_globally
Aureococcus anophagefferens,Netherlands,Aureococcus anophagefferens; Not in GISD,No_EASIN_data,GISD_listed_globally
Aureococcus anophagefferens,Norway,Aureococcus anophagefferens; Not in GISD,No_EASIN_data,GISD_listed_globally
Aureococcus anophagefferens,Portugal,Aureococcus anophagefferens; Not in GISD,No_EASIN_data,GISD_listed_globally
Aureococcus anophagefferens,Spain,Aureococcus anophagefferens; Not in GISD,Not_listed,GISD_listed_globally
Aureococcus anophagefferens,Ukraine,Aureococcus anophagefferens; Not in GISD,Country_not_mapped,GISD_listed_globally
Aureococcus anophagefferens,United Kingdom,Aureococcus anophagefferens; Not in GISD,No_EASIN_data,GISD_listed_globally
Austrominius modestus,Netherlands,Austrominius modestus; Not in GISD,No_EASIN_data,GISD_listed_globally
Austrominius modestus,Portugal,Austrominius modestus; Not in GISD,No_EASIN_data,GISD_listed_globally
Austrominius modestus,Spain,Austrominius modestus; Not in GISD,Not_listed,GISD_listed_globally
