"Species","AphiaID","isMarine","isBrackish","isFreshwater","isTerrestrial","is_non_marine"
"Hexanchus griseus",105833,TRUE,FALSE,FALSE,FALSE,FALSE
"Naria spurca",1075013,TRUE,FALSE,FALSE,FALSE,FALSE
"Lepidochitona cinerea",152774,TRUE,NA,FALSE,FALSE,FALSE
"Mya arenaria",140430,TRUE,FALSE,FALSE,FALSE,FALSE
"Echiichthys vipera",150630,TRUE,FALSE,FALSE,FALSE,FALSE
"Chthamalus stellatus",106231,TRUE,NA,NA,NA,FALSE
"Scruparia chelata",111540,TRUE,FALSE,FALSE,FALSE,FALSE
"Balistes capriscus",154721,TRUE,FALSE,FALSE,FALSE,FALSE
"Tritia reticulata",876821,TRUE,NA,NA,NA,FALSE
"Polyprion americanus",126998,TRUE,FALSE,FALSE,FALSE,FALSE
"Callionymus lyra",126792,TRUE,FALSE,FALSE,FALSE,FALSE
"Abra alba",141433,TRUE,FALSE,FALSE,FALSE,FALSE
"Syngnathus acus",127387,TRUE,TRUE,FALSE,FALSE,FALSE
"Clupea harengus",126417,TRUE,TRUE,FALSE,FALSE,FALSE
"Pomatomus saltator",127002,TRUE,TRUE,FALSE,FALSE,FALSE
"Boops boops",127047,TRUE,FALSE,FALSE,FALSE,FALSE
"Gobius niger",126892,TRUE,TRUE,FALSE,FALSE,FALSE
"Symphodus melops",273571,TRUE,FALSE,FALSE,FALSE,FALSE
"Gasterosteus aculeatus",126505,TRUE,TRUE,TRUE,FALSE,FALSE
"Symphodus bailloni",273566,TRUE,FALSE,FALSE,FALSE,FALSE
"Perca fluviatilis",151353,FALSE,TRUE,TRUE,FALSE,TRUE
"Symphodus tinca",273575,TRUE,TRUE,FALSE,FALSE,FALSE
"Diplodus vulgaris",127054,TRUE,FALSE,FALSE,FALSE,FALSE
"Chelon saliens",1042832,TRUE,TRUE,FALSE,FALSE,FALSE
"Gobius cobitis",126886,TRUE,TRUE,FALSE,FALSE,FALSE
"Patella caerulea",140677,TRUE,FALSE,FALSE,FALSE,FALSE
"Thalassoma pavo",126970,TRUE,FALSE,FALSE,FALSE,FALSE
"Salmo salar",127186,TRUE,TRUE,TRUE,FALSE,FALSE
"Platynereis dumerilii",130417,TRUE,FALSE,FALSE,FALSE,FALSE
"Liposcelis bostrychophila",NA,NA,NA,NA,NA,NA
"Paracentrotus lividus",124316,TRUE,FALSE,FALSE,FALSE,FALSE
"Scomber scombrus",127023,TRUE,TRUE,FALSE,FALSE,FALSE
"Raja brachyura",367297,TRUE,FALSE,FALSE,FALSE,FALSE
"Watersipora subatra",816025,TRUE,FALSE,FALSE,FALSE,FALSE
"Pomatoschistus minutus",126928,TRUE,TRUE,FALSE,FALSE,FALSE
"Belone belone",126375,TRUE,TRUE,FALSE,FALSE,FALSE
"Melarhaphe neritoides",140266,TRUE,NA,NA,NA,FALSE
"Pollicipes pollicipes",106177,TRUE,FALSE,FALSE,FALSE,FALSE
"Chelon auratus",1044127,TRUE,TRUE,TRUE,FALSE,FALSE
"Patella ulyssiponensis",140684,TRUE,NA,NA,NA,FALSE
"Oedalechilus labeo",126984,TRUE,TRUE,FALSE,FALSE,FALSE
"Trisopterus minutus",126446,TRUE,FALSE,FALSE,FALSE,FALSE
"Parablennius gattorugine",126770,TRUE,FALSE,FALSE,FALSE,FALSE
"Balanus trigonus",106223,TRUE,NA,NA,NA,FALSE
"Trisopterus luscus",126445,TRUE,TRUE,FALSE,FALSE,FALSE
"Amathia verticillata",851581,TRUE,FALSE,FALSE,FALSE,FALSE
"Mugil cephalus",126983,TRUE,TRUE,TRUE,FALSE,FALSE
"Eriphia verrucosa",107409,TRUE,FALSE,FALSE,FALSE,FALSE
"Engraulis encrasicolus",126426,TRUE,TRUE,FALSE,FALSE,FALSE
"Sardina pilchardus",126421,TRUE,TRUE,TRUE,FALSE,FALSE
"Carcinus maenas",107381,TRUE,TRUE,FALSE,FALSE,FALSE
"Aurelia aurita",135306,TRUE,NA,FALSE,FALSE,FALSE
"Tritia incrassata",876825,TRUE,NA,NA,NA,FALSE
"Holothuria poli",732380,TRUE,FALSE,FALSE,FALSE,FALSE
"Physella acuta",NA,NA,NA,NA,NA,NA
"Merluccius merluccius",126484,TRUE,FALSE,FALSE,FALSE,FALSE
"Pomatoschistus pictus",126930,TRUE,FALSE,FALSE,FALSE,FALSE
"Scrobicularia plana",141424,TRUE,NA,NA,NA,FALSE
"Scophthalmus maximus",127149,TRUE,TRUE,FALSE,FALSE,FALSE
"Ctenolabrus rupestris",126964,TRUE,FALSE,FALSE,FALSE,FALSE
"Lipophrys pholis",126768,TRUE,FALSE,FALSE,FALSE,FALSE
