"Species","AphiaID","functional_group"
"Clupea harengus",126417,NA
"Alcyonidioides mytili",468026,NA
"Gobius niger",NA,NA
"Gasterosteus aculeatus",126505,NA
"Scomber scombrus",127023,NA
"Taurulus bubalis",127204,NA
"Vibrio crassostreae",570755,NA
"Alteromonas ulvae",NA,NA
"Ctenolabrus rupestris",126964,NA
"Chaetopterus variopedatus",129914,NA
"Asterias rubens",123776,NA
"Gobiusculus flavescens",126898,NA
"Dicentrarchus labrax",126975,NA
"Aphia minuta",126868,NA
"Neogobius melanostomus",126916,NA
"Pomatoschistus microps",126927,NA
"Syngnathus typhle",127393,NA
"Elysia viridis",139686,NA
"Paracentrotus lividus",124316,NA
"Pomatoschistus minutus",126928,NA
"Sardina pilchardus",126421,NA
"Littorina littorea",140262,NA
"Naria spurca",1075013,NA
"Atherina boyeri",272027,NA
"Osmerus eperlanus",126736,NA
"Unio tumidus",NA,NA
"Chelon saliens",1042832,NA
"Melarhaphe neritoides",140266,NA
"Chelon auratus",1044127,NA
"Parablennius gattorugine",126770,NA
"Engraulis encrasicolus",126426,NA
"Tritia incrassata",876825,NA
"Rhithropanopeus harrisii",107414,NA
"Aplysia vaccaria",568031,NA
"Sparus aurata",151523,NA
"Lelliottia amnigena",NA,NA
"Arenicola marina",129868,NA
"Chthamalus stellatus",106231,NA
"Symphodus melops",273571,NA
"Plagioecia patina",111719,NA
"Gobius cobitis",126886,NA
"Patella caerulea",140677,NA
"Phorcus turbinatus",689179,NA
"Platynereis dumerilii",130417,"benthos > macrobenthos"
"Watersipora subatra",816025,NA
"Belone belone",126375,NA
"Patella ulyssiponensis",140684,NA
"Mugil cephalus",126983,NA
"Columbella rustica",139196,NA
"Astropecten irregularis",123867,NA
"Gobius paganellus",126893,NA
"Acanthochitona fascicularis",138677,NA
"Mya arenaria",140430,NA
"Pholis gunnellus",126996,NA
"Aurelia aurita",135306,"plankton > megaplankton; benthos; plankton > zooplankton"
"Epinephelus marginatus",127036,NA
"Lagocephalus sceleratus",219954,NA
"Sicydium altum",NA,NA
"Raja miraletus",105886,NA
"Ischnochiton rissoi",848021,NA
"Boops boops",127047,NA
"Rostroraja alba",105896,NA
"Thalassoma pavo",126970,NA
"Oxyurichthys papuensis",126921,NA
"Oedalechilus labeo",126984,NA
"Balanus trigonus",106223,NA
"Amathia verticillata",851581,NA
"Caretta caretta",137205,NA
"Seriola dumerili",126816,NA
"Dasyatis pastinaca",105851,NA
"Muraena helena",126303,NA
"Pterois miles",218077,NA
"Fistularia commersonii",217966,NA
"Torpedo marmorata",271684,NA
"Parupeneus margaritatus",277818,NA
"Diaphus metopoclampus",126594,NA
"Diplodus vulgaris",127054,NA
"Lampanyctus pusillus",126619,NA
"Diaphus rafinesquii",126596,NA
"Gymnothorax unicolor",126301,NA
"Pteragogus trispilus",835084,NA
"Artemia urmiana",NA,NA
"Anthias anthias",127031,NA
"Cyclothone braueri",127284,NA
"Mullus surmuletus",126986,NA
"Conger conger",126285,NA
"Scorpaena porcus",127247,NA
"Xyrichtys novacula",126971,NA
"Scyliorhinus canicula",105814,NA
"Caranx crysos",126802,NA
"Pagellus acarne",127057,NA
"Serranus cabrilla",127041,NA
"Astropecten aranciacus",123856,NA
"Symphodus tinca",273575,NA
"Diplodus puntazzo",127052,NA
"Eriphia verrucosa",107409,NA
